PRIMARY VOTES	RUNOFF VOTES	GENERAL VOTES 	
			
48702		196374	
21308			
13809			
3854			
87673			
		4302	
87673		200676	
			
		270	
		283953	
			
		483	
		273930	
			
10971		69706	
10353			
21324			
		341	
21324		269118	
			
65163		189185	
26694			
91857			
		336	
91857		291293	
			
63360		219262	
28673			
8120			
2930			
33			
103116			
5061		88267	
3229			
8290			
		573	
111406		308102	
			
11537		73835	
5918			
17455			
		203	
17455		306558	
			
329715		1933630	
			
58789		185296	
11179			
4841			
74809			
16329		82927	
7374			
5626			
2085			
1034			
32448			
5741		15028	
5741			
		5589	
		964	
112998		289804	
			
112998		289804	
			
		7221	
		4420	
		697	
		438	
		300	
		13076	
			
		13076	
			
			
33831		122774	
19247			
53078			
28644		113594	
8958			
6758			
2707			
47067			
97		15227	
97			
100242		251595	
			
51206		147338	
11213			
4			
62423			
52809		144884	
11828			
64637			
		57	
127060		292279	
			
24044		98468	
9484			
3105			
36633			
12474		62663	
6622			
19096			
116		7567	
116			
55845		168698	
			
40033		162907	
24617			
13315			
77965			
10183		69154	
10164			
20347			
189		9306	
189			
11		2393	
11			
98512		243760	
			
41078		183470	
38152			
79230			
19659		89589	
19659			
98889		273059	
			
41821		179706	
39414			
81235			
12383		97666	
11471			
23854			
287		10167	
287			
2		5637	
2			
		1	
105378		293177	
			
22664		104489	
6013			
28677			
162		23338	
162			
116			
116			
28955		127827	
			
57257		172809	
11572			
18			
68847			
24510		95635	
24510			
34		4347	
34			
93391		272791	
			
15536		121881	
11419			
11146			
38101			
11184		111630	
10479			
10165			
9179			
3358			
3281			
2139			
49785			
90		16620	
90			
87976		250131	
			
796248		2173317	
			
357360		1104457	
110150			
29159			
19174			
126			
56			
516025			
289881		1036542	
289881			
591		102109	
591			
		290	
		24	
806497		2243422	
			
			
27936	10028	96601	
21861	9737		
6605			
56402	19765		
		6427	
		5015	
56402	19765	246843	
			
		8566	
		6701	
		286598	
			
		39318	
		245660	
			
20899		154149	
13460			
1953			
36312			
23848	15266	95013	
19812	9895		
11771			
55431	25161		
		4984	
		4807	
			
91743	25161	258953	
			
148145	44926	1038054	
			
			
66527		168827	
43409		125386	
25224			
10530			
10258			
8598			
5901			
4939			
175386		294213	
			
63922		226216	
25635		91310	
25462			
16946			
14041			
10008			
3715			
3033			
2488			
2385			
1737			
1151			
170523		317526	
			
59546		126882	
30254		107086	
17902			
5541			
2438			
115681		233968	
			
