PRIMARY	RUNOFF	GENERAL 
		3707
19456		144368
5110		
4631		
29197		
20131	24725	142578
12349	21827	
11350		
9757		
2324		
824		
56735	46552	
		448
85932	46552	287394
		332
		264120
15777		66077
11381		
27158		
		349
27158		263167
34543		158324
3874		
38417		
18515	16031	147314
6942	4330	
6161		
3342		
2274		
707		
37941	20361	
		1644
76358	20361	307282
		6335
		287237
		3183
		231701
189448	66913	1855268
199690		1305383
16718		
216408		
112074		752391
38757		
25058		
175889		
		2417
392297		2060191
48195		158939
47891		
9901		
105987		
39784		142560
28347		
68131		
6690		14274
6690		
		1205
180808		316978
180808		316978
63747		151767
5480		
965		
70192		
66900		147814
28364		
6102		
1496		
1133		
732		
599		
105326		
4216		13197
4216		
1375		2483
1375		
		1077
181109		317723
26734		155791
18428		
8056		
3376		
56594		
17825		109924
15621		
7847		
2743		
1596		
45632		
43		3678
43		
102269		278787
58707		200914
58707		
27711		125611
27711		
199		7882
199		
118		3616
118		
86735		338023
43538		148800
43538		
22554		115759
22554		
228		10602
228		
66320		275161
18660		89721
18660		
8073		26435
8		
8081		
71		4464
71		
156		3807
156		
26968		124427
25174		149033
25174		
14233		122165
13212		
7523		
6539		
6042		
706		
48255		
207		9158
207		
73636		280365
51562		208582
51562		
15644		115457
5568		
21212		
175		10137
175		
72949		334176
30630		124304
30630		
11011		64425
5464		
16475		
33		7755
33		
47138		196489
46223		179629
46223		
52671		140553
52671		
40		8081
40		
98934		328266
574949		2155694
		64398
		665
		277366
		58850
		274046
		32603
		235781
		787193
		1011754
69622		197812
9752		
79374		
18346		67853
15628		
33974		
2101		24793
2101		
		14
115449		290472
62394		163459
62394		
14750		118878
14340		
13470		
42560		
104954		282337
50532		155424
50532		
37318		137971
37318		
83		13378
83		
347		7273
347		
88280		314046
51665		185790
37802		
4920		
2249		
96636		
51028		183990
6962		
57990		
154626		369780
51006		164242
51006		
18232		46002
18232		
172		10731
172		
		180
69410		221155
88969		229672
26		
88995		
29527		77073
29527		
515		13617
515		
119037		320362
49260		170962
49260		
9658		51166
7660		
17318		
80		6695
80		
237		5950
237		
66895		234773
83510		204996
10105		
93615		
7903		27614
7903		
276		6504
276		
		11
		4
101794		285247
80466		238915
79		
80545		
7893		26917
7893		
225		11704
225		
		37
		27
88663		277600
55427		192226
55427		
30324		91877
30324		
63		11062
63		
85814		295165
40403		164500
40403		
41879		133104
41879		
		12
82282		297616
60393		200442
3827		
1652		
1594		
67466		
12060		49258
6498		
18558		
90		5793
90		
633		5776
633		
230		5584
230		
86977		266853
42897		166829
42897		
12706		51447
