PRIMARY	RUNOFF	GENERAL																																																																																																																																																			
		159																																																																																																																																																			
		255164																																																																																																																																																			
		299																																																																																																																																																			
		247947																																																																																																																																																			
		133																																																																																																																																																			
		245784																																																																																																																																																			
		336																																																																																																																																																			
		255724																																																																																																																																																			
37573		200999																																																																																																																																																			
4393																																																																																																																																																					
41966																																																																																																																																																					
6742	2371	74145																																																																																																																																																			
6007	2130																																																																																																																																																				
2175																																																																																																																																																					
14924	4501																																																																																																																																																				
		315																																																																																																																																																			
56890	4501	275459																																																																																																																																																			
45448		264819																																																																																																																																																			
7000																																																																																																																																																					
52448																																																																																																																																																					
		3224																																																																																																																																																			
52448		268043																																																																																																																																																			
58193		183408																																																																																																																																																			
8061																																																																																																																																																					
66254																																																																																																																																																					
		211																																																																																																																																																			
66254		244638																																																																																																																																																			
175592	4501	1792759																																																																																																																																																			
		1848																																																																																																																																																			
175592	4501	3631825																																																																																																																																																			
70142		213216																																																																																																																																																			
70142																																																																																																																																																					
14109		67074																																																																																																																																																			
9025																																																																																																																																																					
6479																																																																																																																																																					
29613																																																																																																																																																					
7490		11434																																																																																																																																																			
7490																																																																																																																																																					
4147		7157																																																																																																																																																			
4147																																																																																																																																																					
		1115																																																																																																																																																			
111392		299996																																																																																																																																																			
111392		299996																																																																																																																																																			
45710		149773																																																																																																																																																			
29313																																																																																																																																																					
2857																																																																																																																																																					
748																																																																																																																																																					
78628																																																																																																																																																					
40881		140424																																																																																																																																																			
1080																																																																																																																																																					
1045																																																																																																																																																					
43006																																																																																																																																																					
		8885																																																																																																																																																			
1953		3785																																																																																																																																																			
501																																																																																																																																																					
2454																																																																																																																																																					
2868		3053																																																																																																																																																			
2868																																																																																																																																																					
775		1240																																																																																																																																																			
775																																																																																																																																																					
		732																																																																																																																																																			
		423																																																																																																																																																			
127731		308315																																																																																																																																																			
239123		608311																																																																																																																																																			
36723		148315																																																																																																																																																			
36723																																																																																																																																																					
35422		91776																																																																																																																																																			
12629																																																																																																																																																					
48051																																																																																																																																																					
505		13260																																																																																																																																																			
505																																																																																																																																																					
85279		253351																																																																																																																																																			
45261		165260																																																																																																																																																			
25871																																																																																																																																																					
71132																																																																																																																																																					
12833		107406																																																																																																																																																			
5875																																																																																																																																																					
5652																																																																																																																																																					
24360																																																																																																																																																					
365		6625																																																																																																																																																			
365																																																																																																																																																					
		12																																																																																																																																																			
95857		279303																																																																																																																																																			
43552		181012																																																																																																																																																			
43552																																																																																																																																																					
337		44962																																																																																																																																																			
337																																																																																																																																																					
43889		225974																																																																																																																																																			
15201		77150																																																																																																																																																			
15201																																																																																																																																																					
8854		28238																																																																																																																																																			
8854																																																																																																																																																					
235		4639																																																																																																																																																			
235																																																																																																																																																					
24290		110027																																																																																																																																																			
43166		159455																																																																																																																																																			
11296																																																																																																																																																					
54462																																																																																																																																																					
11362		102363																																																																																																																																																			
4985																																																																																																																																																					
16347																																																																																																																																																					
330		6189																																																																																																																																																			
330																																																																																																																																																					
71139		268007																																																																																																																																																			
33784		202882																																																																																																																																																			
23186																																																																																																																																																					
56970																																																																																																																																																					
