PRIMARY VOTES	RUNOFF VOTES	GENERAL VOTES 		
		198		
		152234		
				
		157		
		167952		
				
50372		103558		
15999				
66371				
		246		
66371		156620		
				
		1921		
		134752		
				
49117		115338		
12038				
61155				
		39005		
		631		
61155		154974		
				
18655	47525	135945		
30894	27333			
14451				
14420				
13130				
2397				
587				
94534	74858			
		213		
94534	74858	178449		
				
74953		133687		
14374				
89327				
		2212		
89327		135899		
				
311387	74858	1080880		
				
				
79393		142572		
14497				
7604				
5373				
106867				
38735		114602		
9132				
47867				
13437		21290		
13437				
		1277		
168171		279741		
168171		279741		
				
				
				
		4306		
		3157		
		1130		
		652		
		268		
		229		
		201		
		160		
		143		
		10246		
		10246		
				
51393		97391		
51393				
18814		87723		
18407				
15266				
52487				
103880		185114		
45492		109714		
14995				
5103				
65590				
49039		109547		
49039				
		56		
		48		
114629		219365		
28758		58192		
28758				
18823		46185		
18823				
		43		
		8		
47581		104428		
				
65354		122560		
65354				
19643		45179		
19643				
29		7440		
29				
85026		175179		
71690		124867		
71690				
20249		54596		
20249				
91939		179463		
69902		129578		
69902				
25306		70198		
25306				
95208		199776		
14936		54235		
11077				
2330				
2199				
30542				
300		10715		
300				
4		3858		
4				
		3496		
		129		
		17		
		4		
30846		72454		
53771		128710		
19629				
73400				
2		41066		
2				
73402		169776		
31900		88609		
31900				
30484		67841		
19808				
50292				
52		5612		
52				
82244		162062		
724755		1467617		
				
		196256		
29916		123073		
12400				
11994				
54310				
		190		
54310		237330		
		190935		
18719		110789		
15659				
34378				
		2		
34378		206131		
88688		830652		
				
				
75317		132052		
42481		84320		
13909				
9213				
140920		216372		
99186		163124		
32614		54400		
14245				
146045		217524		
54672		79224		
47560		71036		
102232		150260		
80999		126784		
32855		84350		
30300				
144154		211134		
88709		129613		
12292		41535		
9279				
110280		171148		
62640		97008		
22465		36448		
85105		133456		
51878		92521		
29307		91066		
19431				
7924				
1629				
869				
111038		183587		
40007		77480		
12885		37056		
9037				
6930				
68859		114536		
38295		63475		
20424		57729		
14195				
4637				
77551		121204		
44237		70582		
19804		55123		
11005				
2				
75048		125705		
59605		117502		
28242		57160		
4913				
3482				
2673				
2313				
140				
101368		174662		
79816		160067		
12922		32197		
6156				
3774				
2107				
1514				
1270				
879				
108438		192264		
77461		168491		
9533		21940		
4602				
2190				
93786		190431		
66800		114389		
19482		34757		
86282		149146		
42419		99756		
22228		43150		
21798				
86445		142906		
25586		46277		
12542		44943		
8877				
4565				
3827				
2370				
57767		91220		
43607		69561		
25384		64847		
15359				
6154				
90504		134408		
81295		133060		
27111		63326		
9644				
2190				
120240		196386		
63845		85888		
20132		41900		
83977		127788		
67528		106034		
23950		35010		
91478		141044		
28773		45907		
11682		33470		
5232				
45687		79377		
60499		96053		
22198		37289		
6403				
89100		133342		
58334		100317		
313		33726		
157				
36				
31				
58871		134043		
58198		103228		
21059		95566		
20445				
15575				
9269				
4646				
2144				
1249				
678				
133263		198794		
18327		60847		
19090		53225		
14315				
6149				
3805				
1214				
933				
699				
64532		114072		
38854		87176		
38021		82653		
6536				
1980				
85391		169829		
39915		75728		
26205		51852		
66120		127580		
46004		91996		
11078		28268		
4643				
38				
61763		120264		
19566		50096		
8025		17045		
3542				
31133		67141		
40787		86568		
14129		45315		
8808				
4251				
2352				
76				
70403		131883		
9242		51622		
14163		48162		
9033				
8461				
5954				
4659				
1737				
53249		99784		
24639		50353		
16459		34053		
41098		84406		
20432		108331		
23476		74700		
17988				
14335				
13005				
7673				
2561				
2516				
1554				
994				
883				
732				
650				
509				
477				
345				
327				
188				
1				
108646		183031		
22878		44697		
4474		16924		
3587				
48				
30987		61621		
17996		39502		
4081		22753		
2574				
2183				
567				
27401		62255		
41443		72682		
28662		61457		
12232				
82337		134139		
47639		96787		
8530		18051		
3677				
59846		114838		
27149		58192		
20046		40288		
47195		98480		
49071		91319		
20480		41906		
69551		133225		
13745		30208		
6968		19171		
20713		49379		
19648		46948		
16264		35936		
4509				
3581				
44002		82884		
37506		74540		
8788		38850		
6118				
3150				
8				
55570		113390		
33746		69681		
16440		28521		
12				
50198		98202		
25641		59670		
5		9192		
25646		68862		
39631		106083		
24721		56819		
21284				
2317				
87953		162902		
20172		49738		
7234		33577		
5666				
4969				
1835				
39876		83315		
44019		69091		
33093		54309		
3				
77115		123400		
52431		112082		
18242		62713		
11082				
6142				
5591				
93488		174795		
56558		98161		
25946		64981		
8887				
16				
91407		163142		
62371		111997		
21552		45302		
4634				
88557		157299		
35812		56373		
16403		25577		
184				
52399		81950		
53926		98826		
44954		92746		
23588				
5040				
127508		191572		
50041		87104		
18384		60940		
9182				
3986				
2729				
2106				
1596				
929				
88953		148044		
4151475		7132421		
				
43514		183281		
43514				
21519		80682		
1				
21520				
		9292		
				
		5236		
		2		
		1		
65034		278494		
				
37759		196300		
37759				
43481		149645		
43481				
81240		345945		
				
46177		163011		
15773				
61950				
29931		100364		
29931				
		11294		
		6472		
91881		281141		
				
32714		185292		
17722				
12155				
11433				
74024				
20883		83727		
29				
20912				
		9472		
		8016		
94936		286507		
				
38741		157182		
34967				
73708				
16412		105673		
16412				
90120		262855		
				
43737		143467		
43737				
24267		118847		
24267				
		8623		
		5503		
68004		276440		
				
30659		148225		
30659				
34817		120918		
34817				
127				
127				
65603		269143		
556818		2000525		
				
				
		8395		
		3447		
		217881		
				
		10654		
		2549		
		2602		
		227936		
		10476		
		209939		
		5472		
		3713		
		3		
		2		
		198800		
		7308		
		1970		
		5363		
		213301		
		1067857		
				
		4801		
		231617		
		231617		
				
				
87247		143923		
2652				
89899				
1131		11673		
128				
1259				
		9101		
				
323		6073		
83				
406				
		1123		
1				
31				
91595		171893		
91595		171893		
				
44784		165086		
14660				
59444				
		15281		
59444		235343		
		422		
		249780		
37486		148691		
9739				
47225				
		6208		
47225		228809		
				
38613		177887		
15817				
54430				
		35663		
		13690		
		13		
54430		227253		
				
10968		59237		
6451				
17419				
17419		171577		
				
		265817		
32084		144474		
8316				
2285				
1786				
44471				
		9679		
44471		227164		
		61		
		274513		
18641		93850		
6441				
25082				
11542		74963		
6293				
3301				
21136				
		5060		
		5		
46218		173878		
11912		89426		
7324				
4718				
23954				
		20		
23954		232574		
		272294		
				
		86		
		223576		
				
		213582		
		220		
		274829		
		223756		
15805		101896		
9920				
5760				
5361				
2757				
1594				
41197				
41197		253374		
		12		
		246861		
29236		128498		
5256				
2424				
36916				
36916		157466		
				
31080		153395		
2845				
33925				
		575		
33925		153970		
				
7492		90685		
6073				
4017				
17582				
		7		
17582		216096		
				
6299		61519		
3764				
10063				
10063		164788		
				
35456		129192		
8628				
44084				
		5487		
44084		149918		
				
				
13861		83031		
7455				
5136				
2209				
824				
29485				
29485		161337		
506413		4998555		
				
18971	22871	95337		
11890	19632			
10715				
6918				
2819				
1063				
52376	42503			
6122	6531	61175		
6148	3821			
5836				
18106	10352			
