PRIMARY	RUNOFF	GENERAL
		434
		131722
64043		68770
54092		
18088		
		199
37093		818829
		9529
		99
		155104
		308
		676031
		1730
		692694
		4322
		698400
37578		152520
7288		
409537		
		7925
107217		226493
465069		6540228
75088		698132
14012		
55454		18357
12582		
2197		
6549		
30433		
4128		5053
166		
2163		
3880		4185
1150		
		1451
		940
219961		397144
111233		652938
		87012
		65026
571483		655996
175		
372862		
712327		962952
383865		
9342		48355
8218		
		2
		1
583416		5713599
17563		203114
58597		
60354		46339
9082		
5368		
2722		
9183		
74307		
907		6606
805		
22956		106617
11225		512990
57267		
25673		39113
8447		
7554		
32690		
637		8647
		7
218		
79560		570850
55357		534831
17163		
1503		54853
4585		
25		
97984		
812		5736
369		
23383		639456
98682		65774
51638		
9959		71988
4876		
61		3970
94		
42010		75765
20866		205357
80784		
49596		91917
48668		
478		5799
675		
22682		708060
28265		188703
61545		
17		67912
53		
77357		906438
65408		20682
23604		
20045		83741
5882		
84351		
74		6342
57		
18701		585854
23617		838419
76696		
3986		
5733		
2519		
812		
98902		
51092		406750
33741		
8075		
1324		
3056		
75013		
379		6444
781		
		5403
		1
		8
		1
856002		555250
475374		9156330
		496765
59650		15298
9431		
81942		
97182		305506
		800252
		374557
51766		149094
1771335		9097595
947550		
741805		
9307433		
2110781		7620799
5660217		
69743		615011
40386		
4147		110
93127		
88822		782982
24374		
4206		698853
3109		
30695		53980
10211		
		508
		13
		99
3642488		3797878
79558		768903
19474		
85741		84661
42132		
2365		4175
1463		
612		4605
776		
		57
935383		848056
69551		381264
99779		
77678		71231
81282		
75		
82081		
140		6054
430		
428955		790504
94955		724906
76671		
49670		87256
36250		
883		7887
872		
67		1270
59		
200135		571339
49965		336416
88762		
67878		
72317		891629
16032		
64402		
86171		
569		15069
765		
334415		393871
76716		603675
89773		
42003		21904
73007		
520		2116
870		
557		4093
441		
32145		743286
51047		334380
36158		
74		
102695		
26374		54907
52892		5
95712		
813		5037
227		
711611		986565
84703		925000
47409		
643		86564
192		
94197		740341
18973		271852
38793		
9360		63100
9617		
3512		
4554		42857
5165		
885		1311
691		
80526		177125
83829		698827
74756		
5380		40886
4740		
553		1492
317		
706515		634646
20764		380264
10494		
38817		18071
29519		
		30
92663		496328
83361		402281
14285		
4310		
63262		
58688		45777
76582		
7569		
34832		
1		
3		
601841		102782
38650		121630
8879		
4905		
41795		
4084		59349
5092		
9007		
79891		
50		
50		
28086		383362
57269		750323
36341		
35787		18574
58411		
70958		122152
59319		522126
71418		
11025		39021
17072		
132		1161
962		
8629		2717
5933		
97092		344888
51900		433559
84400		
77343		58941
26841		
93069		737744
11282		74872
27642		
98866		77640
68791		
63734		873033
61433		980780
77386		
67206		41465
79206		
		9849
91103		467667
48066		46365
96086		
72968		95546
84722		
10577		404185
25945		510111
71534		
24914		83978
99533		
20000		949859
46326		96140
37545		
143		
127		
82866		44990
72129		66122
59341		
98495		21529
45172		
772		1619
733		
59570		953174
34842		414292
2549		
7817		
48052		
44224		76248
94339		
306748		147302
22105		358166
62608		
48758		89373
41119		
24222		
		21
91256		614639
31126		552459
41604		
42386		
43966		91612
17525		
		19
		5
702731		408997
39817		67531
25558		
84507		79138
38405		
446		1187
883		
74780		249626
92769		809065
94986		
1625		
91188		
44480		38748
57663		
2515		
50815		
107		6479
306		
796		5715
863		
33360		415111
23475		87690
68156		
87035		37089
59076		
77598		734844
86019		85157
7111		
65286		
1959		40798
4424		
960		9884
110		
574		4941
322		
98690		201016
47980		98078
1404		
20711		
15494		29173
14918		
389		7751
547		
54		4856
29		
221		5694
485		
		75
20231		899506
84215		653194
97795		
40220		61802
70510		
82		2265
51		
80347		752966
45306		27825
2931		
80222		
90568		28339
60447		86061
50422		
14		25898
86		
70197		79975
34873		926335
4621		
75524		
69813		216586
63566		15283
22215		
4829		22177
7793		
		8
65200		98669
77172		95638
4841		
68633		
724		7922
875		
62		4949
35		
98		
40346		33305
10231		501673
92257		
21530		
36825		64063
53766		
88		3378
66		
404		2330
103		
49370		224538
66890		50957
4045		
74963		
854		26223
743		
48694		62747
84624		12853
33469		
7996		52330
9662		
53340		93708
66896		37373
8082		
2456		
30579		
95790		17989
93630		
66447		406644
66097		300382
18091		
62265		65919
61135		
23644		
286		1626
214		
72587		311846
11415		708382
45717		
98618		57113
73417		
		47
89366		673067
92493		743540
87819		
531		
336		
47039		951720
70553		22182
40633		
40994		24054
40673		
47081		48420
93947		24655
27842		
32194		57645
57549		
32		2695
37		
73060		426643
68040		25442
796		
31719		
55513		97582
20519		
88466		
28662		766529
54862		454564
26895		
89686		11174
32855		
852		6804
449		
25748		866018
19375		25798
59638		
7641		78225
4538		
1831		
75408		
11580		29847
65242		140540
75556		
31727		79746
28499		
716		2550
558		
64664		600537
98165		88726
74724		
26005		38382
95009		
285		2832
766		
		484
89010		788254
16757		943074
90215		
6981		
2825		
7656		
4535		
9862		
4078		
415		
540		
96178		
67058		83311
1939		
45440		
