PRIMARY	RUNOFF	GENERAL 		
56937		129063		
18725				
75662				
		26357		
		861		
75662		156281		
				
36295	39169	111645		
21313	26091			
13797				
3349				
74754	65260			
		518		
74754	65260	219028		
				
		199		
		198139		
				
		2007		
		169721		
				
35746		131109		
23525				
11085				
70356				
27814		95192		
10262				
5277				
1751				
45104				
		189		
115460		226490		
				
80725		205288		
25997				
106722				
		4076		
106722		209364		
				
31531	32366	136696		
24490	26481			
22981				
6672				
85674	58847			
6166	11783	51890		
4826	9349			
2804				
2610				
16406	21132			
		138		
102080	79979	188724		
				
474678	145239	1367747		
				
				
405398		968181		
75190				
480588				
160993		515619		
103942				
264935				
		1699		
745523		1485499		
				
74310		175384		
24709				
6605				
105624				
38673		77606		
38673				
		1345		
144297		254335		
144297		254335		
				
				
53872		92931		
55878		90839		
109750				
18035		60045		
6913				
5339				
30287				
		8160		
		2035		
5793		1459		
5793				
		927		
		602		
		458		
		21		
		13		
		8		
		6		
		3		
		2		
		2		
		2		
		2		
		2		
		2		
		2		
		1		
		1		
		1		
		1		
		1		
		1		
		1		
		1		
		1		
		1		
		1		
		1		
		1		
		1		
		1		
		1		
		1		
145830		257538		
				
		6182		
		4422		
		356		
		10960		
		10960		
				
21941		112816		
16328				
11356				
10552				
5846				
2105				
1736				
1530				
71394				
46902		99233		
46902				
23		14869		
23				
118319		226918		
				
81252		173173		
19220				
100472				
32503		82891		
32503				
318		10820		
318				
		8		
		2		
133293		266894		
				
17400		108689		
14211				
13850				
13411				
6473				
6138				
3886				
1353				
1141				
1044				
78907				
27388		85610		
27388				
392		10478		
1				
393				
5		3294		
5				
106693		208071		
				
24613		61524		
24613				
8085		25300		
5368				
13453				
219		2718		
219				
148		2365		
148				
38433		91907		
				
26678		110374		
18480				
17297				
7156				
1157				
884				
71652				
29716		91749		
29716				
306		10127		
306				
4				
4				
101678		212250		
				
62285		165649		
34137				
96422				
26220		72615		
26220				
28		7712		
28				
6		3407		
6				
122676		249383		
				
33931		79935		
33931				
15455		70385		
7044				
3702				
2737				
1394				
30332				
		4506		
159		4318		
121				
280				
64543		159144		
				
55530		138280		
55530				
43097		134124		
37066				
6613				
1933				
502				
89211				
482		11174		
482				
145223		283578		
				
830858		1698145		
				
				
333744		1005615		
190229				
69328				
593301				
100307		592011		
76487				
68589				
44435				
48				
289866				
2669		80097		
2669				
1948		24603		
1948				
		5938		
		160		
		39		
		14		
		7		
887784		1708484		
				
14461		93224		
5682				
20143				
25854	39402	78267		
36809	37156			
14158				
9650				
5094				
4270				
95835	76558			
		8320		
		196		
		9		
115978	76558	180016		
				
24610		122091		
15285				
39895				
30420	37021	80687		
21299	31844			
14800				
5032				
5021				
76572	68865			
		4421		
		3599		
		40		
		14		
116467	68865	210852		
				
19414	18334	148581		
8253	17080			
8088				
7092				
6088				
6037				
4801				
2491				
62264	35414			
62264	35414	205123		
				
9761		71526		
7867				
17628				
		4129		
17628		178134		
312337	180837	774125		
				
				
75010		451618		
24826				
16540				
7128				
6928				
5551				
4389				
1888				
142260				
146579	134756	288156		
140081	124405			
42695				
329355	259161			
		25234		
		14430		
		376		
		143		
				
471615	259161	779957		
				
74695		147307		
74695				
28115		72803		
18383				
46498				
1818		8486		
1818				
657		5996		
657				
123668		234592		
				
57272		130837		
30487				
87759				
42334		98092		
42334				
		11		
130093		228940		
				
71918		131169		
71918				
49022		113128		
49022				
1614		6577		
1614				
581		6275		
581				
121		4789		
121				
123256		261938		
				
89443		186397		
24528				
113971				
50400		95653		
50400				
728		22179		
728				
165099		304229		
				
56762		124220		
56762				
14588		43577		
11148				
25736				
168		4594		
168				
		19		
82666		172410		
				
92204		172216		
11				
92215				
27770		77361		
13136				
40906				
185		5915		
185				
617		5660		
617				
27				
27				
133950		261152		
				
52210		122118		
9188				
61398				
15245		56798		
6242				
3662				
1564				
26713				
88111		178916		
				
77175		167957		
77175				
7013		31771		
5766				
12779				
216		5161		
216				
361		4843		
361				
		24		
90531		209756		
				
82951		180400		
82951				
10067		23054		
10067				
1915		4848		
1915				
292		4113		
292				
205		1670		
205				
95430		214085		
				
62138		137578		
62138				
25331		88512		
21060				
46391				
502		7716		
502				
1058				
1058				
110089		233806		
				
48772		115361		
48772				
24626		112703		
18300				
13355				
11306				
67587				
1291		12439		
1291				
117650		240503		
				
64770		152044		
64770				
20460		44475		
576				
21036				
313		4611		
313				
		32		
86119		201162		
				
48603		118278		
9021				
57624				
10591		45575		
8831				
19422				
		525		
77046		164378		
				
66978		151217		
66978				
17783		60917		
15783				
33566				
624		6735		
624				
101168		218869		
				
57662		126147		
57662				
12992		60468		
12314				
8200				
33506				
91168		186615		
				
48757		105841		
48757				
2935		37913		
285				
3220				
319		12304		
319				
52296		156058		
				
52689		118734		
6653				
59342				
17790		53176		
6192				
5125				
12				
29119				
600		3397		
600				
334		2742		
334				
		90		
89395		178139		
				
28748		72853		
28748				
23978		51716		
23978				
52726		124569		
				
26594		128394		
22355				
15196				
9126				
73271				
20452		69912		
18457		596		
38909				
112180		198902		
				
19599		46247		
5122				
24721				
13770		43197		
4347				
1471				
19588				
44309		89444		
				
55299		135979		
55299				
367				
367				
55666		135979		
				
77140		173490		
77140				
		2173		
77140		175663		
				
52305		111768		
52305				
15108		72744		
9429				
7044				
6670				
3626				
41877				
		5625		
434		3326		
434				
94616		193463		
				
71041		144055		
71041				
19832		96279		
12526				
9494				
41852				
112893		240334		
				
47544		118308		
47544				
23546		73028		
23546				
71090		191336		
				
42400		112774		
16220				
58620				
28951		76093		
28951				
705		12784		
705				
308		6696		
308				
88584		208347		
				
31724		102927		
31724				
14172		55056		
11772				
25944				
57668		157983		
				
26092		88385		
5203				
31295				
10732		28493		
10732				
145		10229		
145				
42172		127107		
				
31832		104374		
31832				
24172		51534		
24172				
212		5218		
212				
56216		161126		
				
55952		153663		
55952				
10270		75948		
10231				
4321				
4264				
2444				
31530				
301		5021		
301				
65		3115		
65				
87848		237747		
				
20550		76363		
2795		3		
23345				
5256		14740		
5256				
28601		91106		
				
21718		77759		
21718				
11567		31697		
11567				
33285		109456		
				
41250		131990		
3096				
2075				
1937				
48358				
3785		21342		
1956				
1627				
11				
7379				
		1		
55737		153333		
				
14309		69382		
5917				
20226				
7042		20457		
7042				
27268		89839		
				
32946		98131		
32946				
7343		25561		
7343				
		2		
40289		123694		
				
27146		114489		
18792				
45938				
16679		66706		
14254				
2278				
33211				
339		10840		
339				
79488		192035		
				
22574		85799		
6144				
2848				
1955				
33521				
9894		29159		
9894				
		10560		
43415		125518		
				
22447		85459		
22447				
10324		30883		
17				
10341				
32788		116342		
				
23125		81590		
23125				
17062		42037		
17062				
342		5334		
342				
40529		128961		
				
55351		119455		
55351				
25518		59400		
25518				
80869		178855		
				
42462		127857		
21607				
64069				
30159		74394		
30159				
		35		
94228		202286		
				
32669		127161		
25181				
7113				
2041				
67004				
